id	title_total_words	title_general_disruption_words	title_protester_messaging_words	title_positive_comments_words	title_negative_comments_words	subtitle_total_words	subtitle_general_disruption_words	subtitle_protester_messaging_words	subtitle_positive_comments_words	subtitle_negative_comments_words	main_content_total_words	main_content_total_pictures	main_content_general_disruption_words	main_content_general_disruption_pictures	main_content_protester_messaging_words	main_content_protester_messaging_pictures	main_content_positive_comments_words	main_content_positive_comments_pictures	main_content_negative_comments_words	main_content_negative_comments_pictures	all_content_total_words	all_content_total_pictures	all_content_total_words_and_pictures	all_content_general_disruption_words	all_content_general_disruption_pictures	all_content_general_disruption_words_and_pictures	all_content_protester_messaging_words	all_content_protester_messaging_pictures	all_content_protester_messaging_words_and_pictures	all_content_positive_comments_words	all_content_positive_comments_pictures	all_content_positive_comments_words_and_pictures	all_content_negative_comments_words	all_content_negative_comments_pictures	all_content_negative_comments_words_and_pictures	tagging_error
BBC_2024-07-22_Just-Stop-Oil-activists	5	0	0	0	0	0	0	0	0	0	239	1	134	1	0	0	0	0	0	0	244	1	294	134	1	184	0	0	0	0	0	0	0	0	0	no
BBC_2024-07-24_Ten-Just-Stop-Oil	8	8	0	0	0	0	0	0	0	0	325	1	189	1	55	0	0	0	75	0	333	1	383	197	1	247	55	0	55	0	0	0	75	0	75	no
BBC_2024-07-26_Ten-climate-activists-charged	7	7	0	0	0	0	0	0	0	0	172	1	124	1	28	0	0	0	0	0	179	1	229	131	1	181	28	0	28	0	0	0	0	0	0	no
BBC_2024-08-01_Just-Stop-Oil-activists	8	8	0	0	0	0	0	0	0	0	328	1	154	1	0	0	67	0	91	0	336	1	386	162	1	212	0	0	0	67	0	67	91	0	91	no
BBC_2024-08-05_Just-Stop-Oil-protesters	7	7	0	0	0	0	0	0	0	0	218	1	97	1	42	0	0	0	79	0	225	1	275	104	1	154	42	0	42	0	0	0	79	0	79	no
BBC_2024-08-15_Activists-plead-not-guilty	8	3	0	0	0	0	0	0	0	0	238	2	86	0	0	0	0	0	0	0	246	2	346	89	0	89	0	0	0	0	0	0	0	0	0	no
BBC_2024-09-04_Antiwhaling-activist-Paul-Watson	8	0	0	0	0	0	0	0	0	0	309	1	137	0	59	0	0	0	0	0	317	1	367	137	0	137	59	0	59	0	0	0	0	0	0	no
BBC_2024-09-20_Judge-throws-out-Sunak	7	0	0	0	0	0	0	0	0	0	350	2	176	1	3	0	12	1	0	0	357	2	457	176	1	226	3	0	3	12	1	62	0	0	0	no
BBC_2024-09-27_Activists-jailed-for-throwing	7	7	0	0	0	0	0	0	0	0	325	2	157	1	36	0	0	0	78	0	332	2	432	164	1	214	36	0	36	0	0	0	78	0	78	no
BBC_2024-09-27_Activists-throw-soup-on	8	8	0	0	0	0	0	0	0	0	300	1	205	1	91	1	0	0	10	0	308	1	358	213	1	263	91	1	141	0	0	0	10	0	10	no
BBC_2024-12-17_Climate-groups-to-back	8	0	0	0	0	0	0	0	0	0	369	2	189	2	0	0	180	0	0	0	377	2	477	189	2	289	0	0	0	180	0	180	0	0	0	no
BBC_2025-01-29_Just-Stop-Oil-pair	9	9	0	0	0	0	0	0	0	0	156	1	119	1	6	0	3	0	4	0	165	1	215	128	1	178	6	0	6	3	0	3	4	0	4	no
BBC_2025-02-02_Protesters-block-airport-over	6	6	0	0	0	0	0	0	0	0	354	3	76	1	86	1	0	0	64	0	360	3	510	82	1	132	86	1	136	0	0	0	64	0	64	no
BBC_2025-04-26_Anger-flares-at-Just	10	10	0	0	0	0	0	0	0	0	381	3	234	2	62	0	0	0	61	0	391	3	541	244	2	344	62	0	62	0	0	0	61	0	61	no
BBC_2025-07-25_Forth-Road-Bridge-closed	7	7	0	0	0	0	0	0	0	0	386	3	180	1	132	1	0	0	56	0	393	3	543	187	1	237	132	1	182	0	0	0	56	0	56	no
BBC_2025-09-22_Arrests-after-gas-protesters	7	7	0	0	0	0	0	0	0	0	258	2	91	1	0	0	0	0	0	0	265	2	365	98	1	148	0	0	0	0	0	0	0	0	0	no
BBC_None_More-arrests-after-protest	7	7	0	0	0	0	0	0	0	0	126	1	97	1	29	0	0	0	0	0	133	1	183	104	1	154	29	0	29	0	0	0	0	0	0	no
Daily-Mail_2023-10-17_Greta-Thunberg-20	19	19	0	0	0	24	24	0	0	0	375	3	206	3	152	0	0	0	0	0	418	3	568	249	3	399	152	0	152	0	0	0	0	0	0	no
Daily-Mail_2023-11-15_Grinning-Greta-Thunberg	22	0	0	0	0	12	12	0	0	0	347	3	205	0	23	0	0	0	0	0	381	3	531	217	0	217	23	0	23	0	0	0	0	0	0	no
Daily-Mail_2023-12-11_Just-Stop-Oil	28	13	0	0	0	0	0	0	0	0	402	3	209	2	32	1	0	0	0	0	430	3	580	222	2	322	32	1	82	0	0	0	0	0	0	no
Daily-Mail_2024-02-13_Climate-activists-target	29	29	0	0	0	0	0	0	0	0	406	3	99	1	225	1	0	0	82	1	435	3	585	128	1	178	225	1	275	0	0	0	82	1	132	no
Daily-Mail_2024-02-14_BBCs-Chris-Packham	23	3	0	0	0	19	0	0	0	0	361	3	89	1	95	0	50	0	0	0	403	3	553	92	1	142	95	0	95	50	0	50	0	0	0	no
Daily-Mail_2024-03-14_Just-Stop-Oils	29	0	0	0	0	0	0	0	0	0	353	3	225	2	57	0	0	0	16	0	382	3	532	225	2	325	57	0	57	0	0	0	16	0	16	no
Daily-Mail_2024-03-15_Moment-Sopranos-star	18	18	0	0	0	0	0	0	0	0	370	3	244	1	101	0	47	0	20	0	388	3	538	262	1	312	101	0	101	47	0	47	20	0	20	no
Daily-Mail_2024-04-05_Extinction-Rebellion-cofounder	31	31	0	0	0	10	10	0	0	0	333	3	293	2	59	0	0	0	0	0	374	3	524	334	2	434	59	0	59	0	0	0	0	0	0	no
Daily-Mail_2024-04-06_Greta-Thunberg-is	33	33	0	0	0	12	12	0	0	0	365	3	266	3	99	0	0	0	0	0	410	3	560	311	3	461	99	0	99	0	0	0	0	0	0	no
Daily-Mail_2024-06-20_Is-nothing-sacred	0	0	0	0	0	0	0	0	0	0	380	3	84	1	114	0	0	0	104	0	380	3	530	84	1	134	114	0	114	0	0	0	104	0	104	yes
Daily-Mail_2024-06-23_Climate-change-protestors	15	15	0	0	0	0	0	0	0	0	347	3	232	3	115	0	0	0	0	0	362	3	512	247	3	397	115	0	115	0	0	0	0	0	0	no
Daily-Mail_2024-07-06_Greta-Thunberg-is	21	21	0	0	0	0	0	0	0	0	330	3	173	3	55	0	0	0	0	0	351	3	501	194	3	344	55	0	55	0	0	0	0	0	0	no
Daily-Mail_2024-07-23_Celebrities-including-Coldplays	28	0	0	28	0	0	0	0	0	0	364	3	139	0	0	0	140	2	50	0	392	3	542	139	0	139	0	0	0	168	2	268	50	0	50	no
ITV_2024-06-22_Just-Stop-Oil	13	0	0	0	0	0	0	0	0	0	310	1	233	1	0	0	0	0	0	0	323	1	373	233	1	283	0	0	0	0	0	0	0	0	0	no
ITV_2024-07-10_Just-Stop-Oil	11	0	0	0	0	0	0	0	0	0	324	2	140	1	99	0	0	0	39	0	335	2	435	140	1	190	99	0	99	0	0	0	39	0	39	no
ITV_2024-09-30_Three-Just-Stop	16	16	0	0	0	0	0	0	0	0	363	2	358	1	0	0	0	0	29	0	379	2	479	374	1	424	0	0	0	0	0	0	29	0	29	no
Metro_None_Four-arrested-after-protester	12	12	0	0	0	0	0	0	0	0	305	2	101	2	204	0	0	0	0	0	317	2	417	113	2	213	204	0	204	0	0	0	0	0	0	no
Metro_None_Judge-puts-Just-Stop	14	0	0	0	0	0	0	0	0	0	305	2	284	2	21	0	0	0	47	0	319	2	419	284	2	384	21	0	21	0	0	0	47	0	47	no
Metro_None_Just-Stop-Oil-activists	11	11	0	0	0	0	0	0	0	0	346	2	112	2	204	0	14	0	15	0	357	2	457	123	2	223	204	0	204	14	0	14	15	0	15	no
Metro_None_Just-Stop-Oil-cover	14	14	0	0	0	0	0	0	0	0	301	3	121	2	125	1	0	0	0	0	315	3	465	135	2	235	125	1	175	0	0	0	0	0	0	no
Metro_None_Stonehenge-damaged-after-being	13	13	0	0	0	0	0	0	0	0	337	3	143	3	103	0	0	0	91	0	350	3	500	156	3	306	103	0	103	0	0	0	91	0	91	no
Metro_None_Three-JSO-protesters-charged	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	12	12	0	12	0	0	0	0	0	0	0	0	0	yes
Mirror_2024-04-20_Thousands-of-summer-holidays	16	16	0	0	0	0	0	0	0	0	388	3	119	2	131	0	0	0	74	0	404	3	554	135	2	235	131	0	131	0	0	0	74	0	74	no
Mirror_2024-06-20_Just-Stop-Oil-protestors	16	16	0	0	0	0	0	0	0	0	448	3	199	2	235	0	0	0	0	0	464	3	614	215	2	315	235	0	235	0	0	0	0	0	0	no
Mirror_2024-06-20_Stonehenge-Just-Stop-Oil	11	11	0	0	0	0	0	0	0	0	326	2	162	2	43	0	0	0	39	0	337	2	437	173	2	273	43	0	43	0	0	0	39	0	39	no
Mirror_2024-07-30_Just-Stop-Oil-activists	12	12	0	0	0	0	0	0	0	0	323	2	105	2	151	0	0	0	67	0	335	2	435	117	2	217	151	0	151	0	0	0	67	0	67	no
Mirror_2024-09-27_Just-Stop-Oil-protestors	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	14	14	0	14	0	0	0	0	0	0	0	0	0	yes
Sky_2023-10-25_Three-arrests-after	14	14	0	0	0	28	0	0	0	0	224	2	80	1	88	1	0	0	0	0	266	2	366	94	1	144	88	1	138	0	0	0	0	0	0	no
Sky_2023-12-15_Just-Stop-Oil	16	16	0	0	0	19	0	0	0	19	304	2	231	0	15	0	0	0	42	0	339	2	439	247	0	247	15	0	15	0	0	0	61	0	61	no
Sky_2024-01-28_Protesters-throw-soup	9	9	0	0	0	32	32	6	0	0	336	2	201	1	54	0	0	0	0	0	377	2	477	242	1	292	60	0	60	0	0	0	0	0	0	no
Sky_2024-06-24_Extinction-Rebellion-climate	11	11	0	0	0	35	35	6	0	0	347	3	130	2	39	0	0	0	139	0	393	3	543	176	2	276	45	0	45	0	0	0	139	0	139	no
Sky_2024-06-29_Third-person-arrested	10	10	0	0	0	23	23	0	0	0	286	1	255	1	31	0	0	0	0	0	319	1	369	288	1	338	31	0	31	0	0	0	0	0	0	no
Sky_2024-07-25_Just-Stop-Oil	13	13	0	0	0	34	34	0	0	0	278	1	232	1	46	0	0	0	0	0	325	1	375	279	1	329	46	0	46	0	0	0	0	0	0	no
Sky_2024-07-25_Over-100-flights	12	12	0	0	0	24	24	0	0	0	295	3	156	3	33	0	0	0	58	0	331	3	481	192	3	342	33	0	33	0	0	0	58	0	58	no
Sky_2024-07-29_Eight-Just-Stop	16	16	0	0	0	35	35	0	0	0	286	1	163	1	123	0	0	0	0	0	337	1	387	214	1	264	123	0	123	0	0	0	0	0	0	no
Sky_2024-09-20_Judge-throws-out	11	0	0	0	0	33	0	0	0	0	362	3	211	3	68	0	23	0	0	0	406	3	556	211	3	361	68	0	68	23	0	23	0	0	0	no
Sky_2025-01-13_Just-Stop-Oil-protesters	11	11	0	0	0	28	0	28	0	0	355	3	157	2	188	0	0	0	0	0	394	3	544	168	2	268	216	0	216	0	0	0	0	0	0	no
Sun_2023-10-17_PROTEST-ARREST-Ecowarrior-Greta	13	13	0	0	0	0	0	0	0	0	191	3	191	3	7	0	0	0	0	0	204	3	354	204	3	354	7	0	7	0	0	0	0	0	0	no
Sun_2024-06-08_ECO-WAR-We-were	23	0	0	0	0	22	0	0	0	0	378	3	204	1	61	0	0	0	0	0	423	3	573	204	1	254	61	0	61	0	0	0	0	0	0	no
Sun_2024-07-19_JUST-APPALLING-I-went	23	2	0	0	23	13	13	0	0	0	431	3	239	2	86	0	0	0	96	0	467	3	617	254	2	354	86	0	86	0	0	0	119	0	119	no
Sun_2024-08-15_ROYAL-TARGET-Eco-idiots	20	20	0	0	20	12	12	0	0	12	371	3	192	2	141	0	0	0	86	1	403	3	553	224	2	324	141	0	141	0	0	0	118	1	168	no
Sun_2024-08-29_SUPER-FORTRESS-Stay-away	23	21	0	0	0	12	12	0	0	0	344	3	204	3	114	0	0	0	7	0	379	3	529	237	3	387	114	0	114	0	0	0	7	0	7	no
Sun_2024-09-27_ART-VANDALS-Moment-Just	21	21	0	0	21	16	16	0	0	0	290	3	167	3	0	0	0	0	106	0	327	3	477	204	3	354	0	0	0	0	0	0	127	0	127	no
Telegraph_2024-02-01_Greta-Thunberg-was-given	9	9	0	0	0	21	0	13	0	0	342	1	276	0	52	0	0	0	0	0	372	1	422	285	0	285	65	0	65	0	0	0	0	0	0	no
Telegraph_2024-05-14_Just-Stop-Oil-protester	16	10	0	0	0	19	19	0	0	0	368	3	73	2	50	0	127	1	0	0	403	3	553	102	2	202	50	0	50	127	1	177	0	0	0	no
Telegraph_2024-09-26_Just-Stop-Oil-soup	10	0	0	10	0	14	0	0	14	0	344	2	79	1	0	0	247	1	17	0	368	2	468	79	1	129	0	0	0	271	1	321	17	0	17	no
Telegraph_2024-09-27_Just-Stop-Oil-protesters	12	12	0	0	0	14	0	0	0	0	240	1	122	0	69	1	0	0	49	0	266	1	316	134	0	134	69	1	119	0	0	0	49	0	49	no
Telegraph_2024-09-29_Activists-throw-soup-on	13	13	0	0	0	17	9	0	0	0	315	1	155	1	42	0	0	0	0	0	345	1	395	177	1	227	42	0	42	0	0	0	0	0	0	no
Telegraph_2025-03-20_Greenpeace-hit-with-660m	10	10	0	0	0	16	0	0	0	10	285	2	147	2	13	0	39	0	49	0	311	2	411	157	2	257	13	0	13	39	0	39	59	0	59	no
The-Guardian_2023-12-02_Deep-sea-miners	12	12	0	0	0	0	0	0	0	0	332	1	181	1	27	0	13	0	0	0	344	1	394	193	1	243	27	0	27	13	0	13	0	0	0	no
The-Guardian_2023-12-04_Police-make-630	11	11	0	0	0	0	0	0	0	0	326	1	215	1	54	0	0	0	57	0	337	1	387	226	1	276	54	0	54	0	0	0	57	0	57	no
The-Guardian_2023-12-15_Just-Stop-Oil	14	14	0	0	0	0	0	0	0	0	378	1	118	1	105	0	53	0	23	0	392	1	442	132	1	182	105	0	105	53	0	53	23	0	23	no
The-Guardian_2024-01-26_Geldof-and-Colman	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	11	0	11	0	0	0	yes
The-Guardian_2024-04-06_Greta-Thunberg-detained	8	8	0	0	0	0	0	0	0	0	306	1	242	1	106	0	0	0	0	0	314	1	364	250	1	300	106	0	106	0	0	0	0	0	0	no
The-Guardian_2024-05-08_First-trial-of	12	0	0	0	0	17	7	0	0	0	297	1	94	1	20	0	0	0	28	0	326	1	376	101	1	151	20	0	20	0	0	0	28	0	28	no
The-Guardian_2024-05-15_UK-climate-activists	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	11	0	11	0	0	0	0	0	0	0	0	0	yes
The-Guardian_2024-07-11_Just-Stop-Oil	12	12	0	0	0	0	0	0	0	0	322	1	213	1	109	0	0	0	0	0	334	1	384	225	1	275	109	0	109	0	0	0	0	0	0	no
The-Guardian_2024-09-21_Retired-priest-speaks	12	0	0	0	12	0	0	0	0	0	362	1	66	1	47	0	0	0	65	0	374	1	424	66	1	116	47	0	47	0	0	0	77	0	77	no
The-Guardian_2024-11-26_How-the-battle-of	16	0	0	0	0	22	0	0	0	0	393	3	245	3	8	0	0	0	0	0	431	3	581	245	3	395	8	0	8	0	0	0	0	0	0	no
The-Guardian_2025-01-08_Charges-against-34-people	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	11	0	11	0	0	0	0	0	0	0	0	0	yes
The-Guardian_2025-08-20_Police-investigate-sabotage-claims	11	0	0	0	0	0	0	0	0	0	334	2	145	2	122	0	0	0	0	0	345	2	445	145	2	245	122	0	122	0	0	0	0	0	0	no
The-Guardian_None_Nearly-175-arrested	11	11	0	0	0	0	0	0	0	0	304	2	175	2	20	0	0	0	109	0	315	2	415	186	2	286	20	0	20	0	0	0	109	0	109	no
The-Times_2023-11-27_Climate-activists-glue-50	6	6	0	0	0	15	0	15	0	0	378	3	115	3	207	0	0	0	0	0	399	3	549	121	3	271	222	0	222	0	0	0	0	0	0	no
The-Times_2024-02-16_As-the-air-goes	15	15	0	0	0	16	0	0	0	0	385	3	340	3	11	0	0	0	45	0	416	3	566	355	3	505	11	0	11	0	0	0	45	0	45	no
The-Times_2024-05-18_Arrested-in-our-80s	13	0	0	0	0	0	0	0	0	0	383	3	60	0	84	0	0	0	0	0	396	3	546	60	0	60	84	0	84	0	0	0	0	0	0	no
The-Times_2024-06-02_Attacking-art-should-be	11	0	0	0	11	16	0	0	0	16	369	3	222	2	0	0	0	0	147	1	396	3	546	222	2	322	0	0	0	0	0	0	174	1	224	no
The-Times_2024-07-19_Police-fear-Just-Stop	11	0	0	0	0	29	29	0	0	0	384	3	67	1	8	0	25	0	0	0	424	3	574	96	1	146	8	0	8	25	0	25	0	0	0	no
The-Times_2024-07-27_Mum-got-four-years	12	0	0	0	0	31	24	0	0	0	379	3	227	2	89	0	0	0	17	0	422	3	572	251	2	351	89	0	89	0	0	0	17	0	17	no
